id	title	url	bytes
000074	Crash Bandicoot 2: Cortex Strikes Back	https://en.wikipedia.org/wiki/Crash_Bandicoot_2:_Cortex_Strikes_Back	17215
000075	Danganronpa: Trigger Happy Havoc	https://en.wikipedia.org/wiki/Danganronpa:_Trigger_Happy_Havoc	27740
000076	Night Warriors: Darkstalkers' Revenge	https://en.wikipedia.org/wiki/Night_Warriors:_Darkstalkers'_Revenge	11282
000077	Devil May Cry 3: Dante's Awakening	https://en.wikipedia.org/wiki/Devil_May_Cry_3:_Dante's_Awakening	21321
000078	Diablo II	https://en.wikipedia.org/wiki/Diablo_II	31888
000079	Doom (1993 video game)	https://en.wikipedia.org/wiki/Doom_(1993_video_game)	38777
000080	Dragon Quest VII	https://en.wikipedia.org/wiki/Dragon_Quest_VII	23426
000081	Fallout 2	https://en.wikipedia.org/wiki/Fallout_2	12844
000082	Far Cry (video game)	https://en.wikipedia.org/wiki/Far_Cry_(video_game)	13774
000083	Out Run	https://en.wikipedia.org/wiki/Out_Run	16688
000084	Final Fantasy II	https://en.wikipedia.org/wiki/Final_Fantasy_II	27885
000085	Final Fantasy Tactics	https://en.wikipedia.org/wiki/Final_Fantasy_Tactics	25132
000086	Final Fight (video game)	https://en.wikipedia.org/wiki/Final_Fight_(video_game)	22241
000087	Fire Emblem: The Blazing Blade	https://en.wikipedia.org/wiki/Fire_Emblem:_The_Blazing_Blade	19333
000088	Five Nights at Freddy's (video game)	https://en.wikipedia.org/wiki/Five_Nights_at_Freddy's_(video_game)	12609
000089	The Beast Within: A Gabriel Knight Mystery	https://en.wikipedia.org/wiki/The_Beast_Within:_A_Gabriel_Knight_Mystery	18190
000090	Gran Turismo 4	https://en.wikipedia.org/wiki/Gran_Turismo_4	18521
000091	Half-Life (video game)	https://en.wikipedia.org/wiki/Half-Life_(video_game)	28677
000092	Halo: Combat Evolved	https://en.wikipedia.org/wiki/Halo:_Combat_Evolved	34715
000093	Hitman 2: Silent Assassin	https://en.wikipedia.org/wiki/Hitman_2:_Silent_Assassin	10484
000094	Kengo: Master of Bushido	https://en.wikipedia.org/wiki/Kengo:_Master_of_Bushido	3422
000095	Mass Effect (video game)	https://en.wikipedia.org/wiki/Mass_Effect_(video_game)	32320
000096	Mega Man 2	https://en.wikipedia.org/wiki/Mega_Man_2	20682
000097	Metal Gear Solid (1998 video game)	https://en.wikipedia.org/wiki/Metal_Gear_Solid_(1998_video_game)	39023
000098	The Secret of Monkey Island	https://en.wikipedia.org/wiki/The_Secret_of_Monkey_Island	23687
